RX_ID,X,Y,Z,SNR_dB,RX_Power_dBm,CQI,LOS,User_Request,Request_Label
1,-46.86,116.32,1.50,18.48,-74.51,11,0,I need to control a robotic arm in real time,URLLC
2,-236.30,-49.71,1.50,3.83,-89.16,6,0,I need to stream 8K video content,eMBB
3,51.34,-16.36,1.50,35.32,-57.67,15,0,I need to synchronize multiple robots on a factory floor,URLLC
4,61.71,64.44,1.50,25.57,-67.42,13,0,I need to download large files,eMBB
5,-217.71,-104.70,1.50,3.76,-89.23,6,0,I want to download a large software update,eMBB
6,51.27,126.62,1.50,16.44,-76.55,10,0,I need to control remote diagnostic equipment in rural clinics,URLLC
7,62.44,-107.67,1.50,17.64,-75.35,11,0,I need to monitor IoT sensors in real-time,URLLC
8,-154.91,-60.09,1.50,11.90,-81.09,9,0,I need immediate machine shutdown capability for safety incidents,URLLC
9,59.24,-56.98,1.50,26.38,-66.61,14,0,I need to make a high-quality voice call,eMBB
10,-104.28,-68.34,1.50,18.01,-74.98,11,0,I need to make a high-quality voice call,eMBB
11,-27.61,-95.24,1.50,22.56,-70.43,12,0,I want to stream music while browsing social media,eMBB
12,-160.71,61.46,1.50,11.39,-81.60,8,0,I need to use maps for basic navigation,eMBB
13,-52.98,-69.19,1.50,25.48,-67.51,13,0,I need to detect and isolate power grid faults instantly,URLLC
14,-119.73,3.45,1.50,19.19,-73.80,11,0,I need to balance electrical load in real-time across microgrids,URLLC
15,-209.89,-5.93,1.50,6.93,-86.06,7,0,I need to check weather forecasts,eMBB
16,-145.16,-4.31,1.50,14.96,-78.03,10,0,I want to participate in a virtual reality gaming session,eMBB
17,-95.02,-57.13,1.50,20.56,-72.43,12,0,I need to balance electrical load in real-time across microgrids,URLLC
18,-163.17,-46.51,1.50,11.48,-81.51,9,0,I need to stream 8K video content,eMBB
19,-169.18,102.88,1.50,8.35,-84.64,7,0,I want to participate in a virtual reality gaming session,eMBB
20,59.47,121.32,1.50,16.65,-76.34,10,0,I need AI-based video analytics,eMBB
21,-1.76,-28.00,1.50,47.81,-45.18,15,0,I want to stream a live sports event in HD,eMBB
22,-243.92,-72.18,1.50,2.68,-90.31,5,0,I need to participate in a video conference meeting,eMBB
23,-24.17,18.55,1.50,49.68,-43.31,15,0,I need to control critical infrastructure with zero downtime,URLLC
24,40.29,-29.87,1.50,36.56,-56.43,15,0,I need to control precision CNC machines with zero tolerance for delay,URLLC
25,40.16,5.37,1.50,41.61,-51.38,15,0,I need to control a robotic arm in real time,URLLC
26,-40.63,-97.82,1.50,21.21,-71.78,12,0,I want to participate in a virtual reality gaming session,eMBB
27,-20.64,52.99,1.50,36.07,-56.92,15,0,I need vehicle-to-vehicle collision avoidance systems,URLLC
28,4.03,-49.35,1.50,36.74,-56.25,15,0,I want to play competitive mobile games with ultra-low latency,URLLC
29,64.39,-36.46,1.50,28.65,-64.34,15,0,I need to transmit real-time patient vital signs during critical care,URLLC
30,-171.36,21.30,1.50,11.24,-81.75,8,0,I need to check weather forecasts,eMBB
